track_name,last_played_date,is_user_initiated,artist_name,track_name_clean
S.H.E - 花都開好了 (Live),1691902302170,True,S.H.E,花都開好了 (Live)
S.H.E - She's The One (Live),1691902310295,False,S.H.E,She's The One (Live)
S.H.E - She's The One (Live),1691902310295,True,S.H.E,She's The One (Live)
Charles Fernandez - The Addams Family,1570588844431,False,Charles Fernandez,The Addams Family
Charles Fernandez - The Addams Family,1570588844431,True,Charles Fernandez,The Addams Family
Thomas Newman - Long Old Life,1739647593785,False,Thomas Newman,Long Old Life
Thomas Newman - Long Old Life,1739647593785,True,Thomas Newman,Long Old Life
Thomas Newman - This Is the Day,1739647641401,False,Thomas Newman,This Is the Day
Thomas Newman - This Is the Day,1739647641401,True,Thomas Newman,This Is the Day
Thomas Newman - The Chimes at Midnight,1739647799951,False,Thomas Newman,The Chimes at Midnight
Thomas Newman - The Chimes at Midnight,1739647799951,True,Thomas Newman,The Chimes at Midnight
Thomas Newman - Road to Jaipur,1739647889413,False,Thomas Newman,Road to Jaipur
Thomas Newman - Road to Jaipur,1739647889413,True,Thomas Newman,Road to Jaipur
Thomas Newman - Night Bus,1739647964981,False,Thomas Newman,Night Bus
Thomas Newman - Night Bus,1739647964981,True,Thomas Newman,Night Bus
Thomas Newman - Tuk Tuks,1739648066634,False,Thomas Newman,Tuk Tuks
Thomas Newman - Tuk Tuks,1739648066634,True,Thomas Newman,Tuk Tuks
Thomas Newman - The Best Exotic Marigold Hotel,1739648221895,False,Thomas Newman,The Best Exotic Marigold Hotel
Thomas Newman - The Best Exotic Marigold Hotel,1739648221895,True,Thomas Newman,The Best Exotic Marigold Hotel
Thomas Newman - Assault On the Senses,1739648400371,False,Thomas Newman,Assault On the Senses
Thomas Newman - Assault On the Senses,1739648400371,True,Thomas Newman,Assault On the Senses
Thomas Newman - Anokhi,1739648471058,False,Thomas Newman,Anokhi
Thomas Newman - Anokhi,1739648471058,True,Thomas Newman,Anokhi
Thomas Newman - Cricket Spell,1739648696059,False,Thomas Newman,Cricket Spell
Thomas Newman - Cricket Spell,1739648696059,True,Thomas Newman,Cricket Spell
Thomas Newman - More Than Nothing,1739648838252,False,Thomas Newman,More Than Nothing
Thomas Newman - More Than Nothing,1739648838252,True,Thomas Newman,More Than Nothing
Thomas Newman - Day 22,1739648939434,False,Thomas Newman,Day 22
Thomas Newman - Day 22,1739648939434,True,Thomas Newman,Day 22
Thomas Newman - Mrs. Ainsley,1739649043480,False,Thomas Newman,Mrs. Ainsley
Thomas Newman - Mrs. Ainsley,1739649043480,True,Thomas Newman,Mrs. Ainsley
Thomas Newman - Do Your Worst,1739649151758,False,Thomas Newman,Do Your Worst
Thomas Newman - Do Your Worst,1739649151758,True,Thomas Newman,Do Your Worst
Thomas Newman - Udaipur,1739649177643,False,Thomas Newman,Udaipur
Thomas Newman - Udaipur,1739649177643,True,Thomas Newman,Udaipur
Rachel Portman & Michael Brook - Calling It a Day,1730811232261,False,Rachel Portman & Michael Brook,Calling It a Day
Carly Rae Jepsen - Call Me Maybe,1614799058668,False,Carly Rae Jepsen,Call Me Maybe
Carly Rae Jepsen - Call Me Maybe,1614799058668,True,Carly Rae Jepsen,Call Me Maybe
